mode,operator,registered,input_kind,truth_output_random,truth_rng_sources,truth_changes_shape,truth_changes_dtype,truth_stateful,truth_scope,predicted_output_random,predicted_rng_sources,predicted_changes_shape,predicted_changes_dtype,predicted_stateful,predicted_scope,runtime_successes,runtime_failures,runtime_replayable
registry,identity,True,float,False,none,False,False,False,per_sample,False,none,False,False,False,per_sample,8,0,True
registry,resize,True,float,False,none,True,False,False,per_sample,False,none,True,False,False,per_sample,8,0,True
registry,center_crop,False,float,False,none,True,False,False,per_sample,unknown,unknown,unknown,unknown,unknown,unknown,8,0,True
registry,grayscale3,False,float,False,none,False,False,False,per_sample,unknown,unknown,unknown,unknown,unknown,unknown,8,0,True
registry,rgb,False,float,False,none,False,False,False,per_sample,unknown,unknown,unknown,unknown,unknown,unknown,8,0,True
registry,pad,False,float,False,none,True,False,False,per_sample,unknown,unknown,unknown,unknown,unknown,unknown,8,0,True
registry,normalize,True,float,False,none,False,False,False,per_sample,False,none,False,False,False,per_sample,8,0,True
registry,to_float,False,uint8,False,none,False,True,False,per_sample,unknown,unknown,unknown,unknown,unknown,unknown,8,0,True
registry,fixed_blur,False,float,False,torch,False,False,False,per_sample,unknown,unknown,unknown,unknown,unknown,unknown,8,0,True
registry,variable_blur,False,float,True,torch,False,False,False,per_sample,unknown,unknown,unknown,unknown,unknown,unknown,8,0,True
registry,hflip,True,float,True,torch,False,False,False,per_sample,True,torch,False,False,False,per_sample,8,0,True
registry,vflip,False,float,True,torch,False,False,False,per_sample,unknown,unknown,unknown,unknown,unknown,unknown,8,0,True
registry,random_crop,True,float,True,torch,True,False,False,per_sample,True,torch,True,False,False,per_sample,8,0,True
registry,random_resized_crop,False,float,True,torch,True,False,False,per_sample,unknown,unknown,unknown,unknown,unknown,unknown,8,0,True
registry,color_jitter,True,float,True,torch,False,False,False,per_sample,True,torch,False,False,False,per_sample,8,0,True
registry,random_grayscale,False,float,True,torch,False,False,False,per_sample,unknown,unknown,unknown,unknown,unknown,unknown,8,0,True
registry,random_solarize,False,float,True,torch,False,False,False,per_sample,unknown,unknown,unknown,unknown,unknown,unknown,8,0,True
registry,random_posterize,False,uint8,True,torch,False,False,False,per_sample,unknown,unknown,unknown,unknown,unknown,unknown,8,0,True
registry,random_sharpness,False,float,True,torch,False,False,False,per_sample,unknown,unknown,unknown,unknown,unknown,unknown,8,0,True
registry,random_autocontrast,False,uint8,True,torch,False,False,False,per_sample,unknown,unknown,unknown,unknown,unknown,unknown,8,0,True
registry,random_equalize,False,uint8,True,torch,False,False,False,per_sample,unknown,unknown,unknown,unknown,unknown,unknown,8,0,True
registry,random_invert,False,float,True,torch,False,False,False,per_sample,unknown,unknown,unknown,unknown,unknown,unknown,8,0,True
registry,random_rotation,False,float,True,torch,False,False,False,per_sample,unknown,unknown,unknown,unknown,unknown,unknown,8,0,True
registry,random_affine,False,float,True,torch,False,False,False,per_sample,unknown,unknown,unknown,unknown,unknown,unknown,8,0,True
registry,random_perspective,False,float,True,torch,False,False,False,per_sample,unknown,unknown,unknown,unknown,unknown,unknown,8,0,True
registry,random_erasing,False,float,True,torch,False,False,False,per_sample,unknown,unknown,unknown,unknown,unknown,unknown,8,0,True
registry,python_gamma,False,float,True,python,False,False,False,per_sample,unknown,unknown,unknown,unknown,unknown,unknown,8,0,True
registry,numpy_offset,False,float,True,numpy,False,False,False,per_sample,unknown,unknown,unknown,unknown,unknown,unknown,8,0,True
registry,stateful_offset,False,float,False,none,False,False,True,cross_sample,unknown,unknown,unknown,unknown,unknown,unknown,8,0,False
registry,external_env,False,float,False,none,False,False,True,unknown,unknown,unknown,unknown,unknown,unknown,unknown,8,0,True
static,identity,True,float,False,none,False,False,False,per_sample,False,none,unknown,unknown,False,per_sample,8,0,True
static,resize,True,float,False,none,True,False,False,per_sample,False,none,unknown,unknown,False,per_sample,8,0,True
static,center_crop,False,float,False,none,True,False,False,per_sample,False,none,unknown,unknown,False,per_sample,8,0,True
static,grayscale3,False,float,False,none,False,False,False,per_sample,False,none,unknown,unknown,False,per_sample,8,0,True
static,rgb,False,float,False,none,False,False,False,per_sample,False,none,unknown,unknown,False,per_sample,8,0,True
static,pad,False,float,False,none,True,False,False,per_sample,False,none,unknown,unknown,False,per_sample,8,0,True
static,normalize,True,float,False,none,False,False,False,per_sample,False,none,unknown,unknown,False,per_sample,8,0,True
static,to_float,False,uint8,False,none,False,True,False,per_sample,False,none,unknown,unknown,False,per_sample,8,0,True
static,fixed_blur,False,float,False,torch,False,False,False,per_sample,True,torch,unknown,unknown,False,per_sample,8,0,True
static,variable_blur,False,float,True,torch,False,False,False,per_sample,True,torch,unknown,unknown,False,per_sample,8,0,True
static,hflip,True,float,True,torch,False,False,False,per_sample,True,torch,unknown,unknown,False,per_sample,8,0,True
static,vflip,False,float,True,torch,False,False,False,per_sample,True,torch,unknown,unknown,False,per_sample,8,0,True
static,random_crop,True,float,True,torch,True,False,False,per_sample,True,torch,unknown,unknown,False,per_sample,8,0,True
static,random_resized_crop,False,float,True,torch,True,False,False,per_sample,True,torch,unknown,unknown,False,per_sample,8,0,True
static,color_jitter,True,float,True,torch,False,False,False,per_sample,True,torch,unknown,unknown,False,per_sample,8,0,True
static,random_grayscale,False,float,True,torch,False,False,False,per_sample,True,torch,unknown,unknown,False,per_sample,8,0,True
static,random_solarize,False,float,True,torch,False,False,False,per_sample,True,torch,unknown,unknown,False,per_sample,8,0,True
static,random_posterize,False,uint8,True,torch,False,False,False,per_sample,True,torch,unknown,unknown,False,per_sample,8,0,True
static,random_sharpness,False,float,True,torch,False,False,False,per_sample,True,torch,unknown,unknown,False,per_sample,8,0,True
static,random_autocontrast,False,uint8,True,torch,False,False,False,per_sample,True,torch,unknown,unknown,False,per_sample,8,0,True
static,random_equalize,False,uint8,True,torch,False,False,False,per_sample,True,torch,unknown,unknown,False,per_sample,8,0,True
static,random_invert,False,float,True,torch,False,False,False,per_sample,True,torch,unknown,unknown,False,per_sample,8,0,True
static,random_rotation,False,float,True,torch,False,False,False,per_sample,True,torch,unknown,unknown,False,per_sample,8,0,True
static,random_affine,False,float,True,torch,False,False,False,per_sample,True,torch,unknown,unknown,False,per_sample,8,0,True
static,random_perspective,False,float,True,torch,False,False,False,per_sample,True,torch,unknown,unknown,False,per_sample,8,0,True
static,random_erasing,False,float,True,torch,False,False,False,per_sample,True,torch,unknown,unknown,False,per_sample,8,0,True
static,python_gamma,False,float,True,python,False,False,False,per_sample,True,python,unknown,unknown,False,per_sample,8,0,True
static,numpy_offset,False,float,True,numpy,False,False,False,per_sample,True,numpy,unknown,unknown,False,per_sample,8,0,True
static,stateful_offset,False,float,False,none,False,False,True,cross_sample,False,none,unknown,unknown,True,cross_sample,8,0,False
static,external_env,False,float,False,none,False,False,True,unknown,False,none,unknown,unknown,True,unknown,8,0,True
runtime,identity,True,float,False,none,False,False,False,per_sample,False,none,False,False,False,per_sample,8,0,True
runtime,resize,True,float,False,none,True,False,False,per_sample,False,none,True,False,False,per_sample,8,0,True
runtime,center_crop,False,float,False,none,True,False,False,per_sample,False,none,True,False,False,per_sample,8,0,True
runtime,grayscale3,False,float,False,none,False,False,False,per_sample,False,none,False,False,False,per_sample,8,0,True
runtime,rgb,False,float,False,none,False,False,False,per_sample,False,none,False,False,False,per_sample,8,0,True
runtime,pad,False,float,False,none,True,False,False,per_sample,False,none,True,False,False,per_sample,8,0,True
runtime,normalize,True,float,False,none,False,False,False,per_sample,False,none,False,False,False,per_sample,8,0,True
runtime,to_float,False,uint8,False,none,False,True,False,per_sample,False,none,False,True,False,per_sample,8,0,True
runtime,fixed_blur,False,float,False,torch,False,False,False,per_sample,False,torch,False,False,False,per_sample,8,0,True
runtime,variable_blur,False,float,True,torch,False,False,False,per_sample,True,torch,False,False,False,per_sample,8,0,True
runtime,hflip,True,float,True,torch,False,False,False,per_sample,True,torch,False,False,False,per_sample,8,0,True
runtime,vflip,False,float,True,torch,False,False,False,per_sample,True,torch,False,False,False,per_sample,8,0,True
runtime,random_crop,True,float,True,torch,True,False,False,per_sample,True,torch,True,False,False,per_sample,8,0,True
runtime,random_resized_crop,False,float,True,torch,True,False,False,per_sample,True,torch,True,False,False,per_sample,8,0,True
runtime,color_jitter,True,float,True,torch,False,False,False,per_sample,True,torch,False,False,False,per_sample,8,0,True
runtime,random_grayscale,False,float,True,torch,False,False,False,per_sample,True,torch,False,False,False,per_sample,8,0,True
runtime,random_solarize,False,float,True,torch,False,False,False,per_sample,True,torch,False,False,False,per_sample,8,0,True
