source_id,unit,kind,unsafe_for_unary_optimizer,validator_reject,truth_construction_external_reads,predicted_construction_external_reads,match_construction_external_reads,truth_construction_external_writes,predicted_construction_external_writes,match_construction_external_writes,truth_construction_state_writes,predicted_construction_state_writes,match_construction_state_writes,truth_construction_rng_sources,predicted_construction_rng_sources,match_construction_rng_sources,truth_execution_reads,predicted_execution_reads,match_execution_reads,truth_execution_writes,predicted_execution_writes,match_execution_writes,truth_execution_external_reads,predicted_execution_external_reads,match_execution_external_reads,truth_execution_external_writes,predicted_execution_external_writes,match_execution_external_writes,truth_rng_direct_sources,predicted_rng_direct_sources,match_rng_direct_sources,truth_rng_delegated,predicted_rng_delegated,match_rng_delegated,truth_target_signature,predicted_target_signature,match_target_signature,truth_target_coupled,predicted_target_coupled,match_target_coupled,truth_input_cardinality,predicted_input_cardinality,match_input_cardinality,truth_output_cardinality,predicted_output_cardinality,match_output_cardinality,truth_sample_identity,predicted_sample_identity,match_sample_identity,construction_nodes,execution_nodes,construction_calls
monai_compose,Compose,class,True,True,none,none,True,none,none,True,True,True,True,none,none,True,parametric,parametric,True,parametric,parametric,True,none,none,True,none,none,True,numpy,none,False,True,True,True,parametric,parametric,True,True,True,True,one,one,True,one,one,True,preserve,preserve,True,1,1,ValueError+__init__+ensure_tuple+get_seed+isinstance+set_random_state+type
monai_compose,OneOf,class,True,True,none,none,True,none,none,True,True,True,True,none,none,True,parametric,parametric,True,parametric,parametric,True,none,none,True,none,none,True,numpy,none,False,True,True,True,parametric,parametric,True,True,True,True,one,one,True,one,one,True,preserve,preserve,True,2,1,ValueError+__init__+_normalize_probabilities+ensure_tuple+get_seed+isinstance+len+set_random_state+super+type
monai_compose,RandomOrder,class,True,True,none,none,True,none,none,True,True,True,True,none,none,True,parametric,parametric,True,parametric,parametric,True,none,none,True,none,none,True,numpy,none,False,True,True,True,parametric,parametric,True,True,True,True,one,one,True,one,one,True,preserve,preserve,True,2,1,ValueError+__init__+ensure_tuple+get_seed+isinstance+set_random_state+super+type
monai_compose,SomeOf,class,True,True,none,none,True,none,none,True,True,True,True,none,none,True,parametric,parametric,True,parametric,parametric,True,none,none,True,none,none,True,numpy,none,False,True,True,True,parametric,parametric,True,True,True,True,one,one,True,one,one,True,preserve,preserve,True,2,1,ValueError+__init__+_ensure_valid_num_transforms+_normalize_probabilities+ensure_tuple+get_seed+isinstance+set_random_state+super+type
mmdet_transforms,RandomFlip,class,False,False,none,none,True,none,none,True,True,False,False,none,none,True,image+instances+semantic,image,False,image+instances+semantic,image,False,none,none,True,none,none,True,none,none,True,True,False,False,fixed,fixed,True,True,False,False,one,one,True,one,one,True,preserve,preserve,True,0,0,none
mmdet_transforms,RandomCrop,class,False,False,none,none,True,none,none,True,True,True,True,none,none,True,image+instances+labels+semantic,image,False,image+instances+labels+semantic,image,False,none,none,True,none,none,True,numpy,none,False,False,False,True,fixed,fixed,True,True,False,False,one,one,True,one,one,True,preserve,preserve,True,1,0,ValueError+isinstance
mmdet_transforms,Mosaic,class,True,True,none,none,True,none,none,True,True,True,True,none,none,True,image+instances+labels,image,False,image+instances+labels,image,False,none,none,True,none,none,True,python,none,False,False,False,True,fixed,fixed,True,True,True,True,many,many,True,one,one,True,combine,combine,True,1,0,isinstance+log_img_scale
mmdet_transforms,MixUp,class,True,True,none,none,True,none,none,True,True,True,True,none,none,True,image+instances+labels,image,False,image+instances+labels,image,False,none,none,True,none,none,True,python,none,False,False,False,True,fixed,fixed,True,True,True,True,many,many,True,one,one,True,combine,combine,True,1,0,isinstance+log_img_scale
mmdet_transforms,CopyPaste,class,True,True,none,none,True,none,none,True,True,True,True,none,none,True,image+instances+labels+semantic,image,False,image+instances+labels+semantic,image,False,none,none,True,none,none,True,numpy+python,none,False,False,False,True,fixed,fixed,True,True,True,True,many,many,True,one,one,True,combine,combine,True,1,0,none
mmdet_transforms,CachedMosaic,class,True,False,none,none,True,none,none,True,True,True,True,none,none,True,image+instances+labels+semantic,image,False,image+instances+labels+semantic,image,False,none,none,True,none,none,True,python,none,False,False,False,True,fixed,fixed,True,True,False,False,many,one,False,one,one,True,combine,preserve,False,2,0,__init__+isinstance+log_img_scale+super
dali_pipeline,Pipeline,class,True,False,none,none,True,none,none,True,True,True,True,none,none,True,parametric,image,False,parametric,image,False,backend,none,False,backend,none,False,none,none,True,True,False,False,parametric,fixed,False,False,False,True,many,one,False,many,one,False,preserve,preserve,True,1,0,TypeError+ValueError+_MakeExecutorType+_show_deprecation_warning+_show_warning+add+isinstance+ref+type+warn
dali_pipeline,pipeline_def,function,True,True,none,none,True,none,none,True,False,False,True,none,none,True,parametric,image,False,parametric,image,False,backend,none,False,backend,none,False,none,none,True,True,True,True,parametric,fixed,False,False,False,True,many,one,False,many,one,False,preserve,preserve,True,1,0,Pipeline+ValueError+_generate_graph+_preprocess_pipe_func+_preprocess_pipe_object+_regroup_args+actual_decorator+get+is_autograph_artifact+wraps
