source_id,unit,kind,truth_construction_external_reads,predicted_construction_external_reads,match_construction_external_reads,truth_construction_external_writes,predicted_construction_external_writes,match_construction_external_writes,truth_construction_state_writes,predicted_construction_state_writes,match_construction_state_writes,truth_construction_rng_sources,predicted_construction_rng_sources,match_construction_rng_sources,truth_execution_reads,predicted_execution_reads,match_execution_reads,truth_execution_writes,predicted_execution_writes,match_execution_writes,truth_execution_external_reads,predicted_execution_external_reads,match_execution_external_reads,truth_execution_external_writes,predicted_execution_external_writes,match_execution_external_writes,truth_rng_direct_sources,predicted_rng_direct_sources,match_rng_direct_sources,truth_rng_delegated,predicted_rng_delegated,match_rng_delegated,truth_target_signature,predicted_target_signature,match_target_signature,truth_target_coupled,predicted_target_coupled,match_target_coupled,truth_input_cardinality,predicted_input_cardinality,match_input_cardinality,truth_output_cardinality,predicted_output_cardinality,match_output_cardinality,truth_sample_identity,predicted_sample_identity,match_sample_identity,construction_nodes,execution_nodes,construction_calls
vision_presets,ClassificationPresetTrain,class,none,none,True,none,none,True,True,True,True,none,none,True,image,image,True,image,image,True,none,none,True,none,none,True,none,none,True,True,True,True,fixed,fixed,True,False,False,True,one,one,True,one,one,True,preserve,preserve,True,1,1,AugMix+AutoAugment+AutoAugmentPolicy+Compose+ConvertImageDtype+Normalize+PILToTensor+RandAugment+RandomErasing+RandomHorizontalFlip+RandomResizedCrop+ToDtype+ToPureTensor+TrivialAugmentWide+ValueError+append+extend+get_module+lower
vision_presets,ClassificationPresetEval,class,none,none,True,none,none,True,True,True,True,none,none,True,image,image,True,image,image,True,none,none,True,none,none,True,none,none,True,False,False,True,fixed,fixed,True,False,False,True,one,one,True,one,one,True,preserve,preserve,True,1,1,CenterCrop+Compose+ConvertImageDtype+Normalize+PILToTensor+Resize+ToDtype+ToPureTensor+ValueError+append+get_module+lower
timm_factory,transforms_noaug_train,function,none,none,True,none,none,True,False,False,True,none,none,True,image,image,True,image,image,True,none,none,True,none,none,True,none,none,True,False,False,True,fixed,fixed,True,False,False,True,one,one,True,one,one,True,preserve,preserve,True,1,0,CenterCrop+Compose+MaybePILToTensor+MaybeToTensor+Normalize+Resize+str_to_interp_mode+tensor
timm_factory,transforms_imagenet_train,function,none,none,True,none,none,True,False,False,True,none,none,True,image,image,True,image,image,True,none,none,True,none,none,True,none,none,True,True,True,True,fixed,fixed,True,False,False,True,one,one,True,one,one,True,preserve,preserve,True,1,0,CenterCropOrPad+ColorJitter+Compose+GaussianBlur+MaybePILToTensor+MaybeToTensor+Normalize+Patchify+RandomApply+RandomCropOrPad+RandomErasing+RandomGrayscale+RandomHorizontalFlip+RandomResizedCropAndInterpolation+RandomResizedCropToSequence+RandomVerticalFlip+ResizeKeepRatio+augment_and_mix_transform+auto_augment_transform+dict+float+int+isinstance+len+min+rand_augment_transform+round+startswith+str_to_pil_interp+tensor+tuple
timm_factory,transforms_imagenet_eval,function,none,none,True,none,none,True,False,False,True,none,none,True,image,image,True,image,image,True,none,none,True,none,none,True,none,none,True,False,False,True,fixed,fixed,True,False,False,True,one,one,True,one,one,True,preserve,preserve,True,1,0,CenterCrop+CenterCropOrPad+Compose+MaybePILToTensor+MaybeToTensor+Normalize+Patchify+Resize+ResizeKeepRatio+ResizeToSequence+TrimBorder+floor+isinstance+len+round+str_to_interp_mode+tensor+tuple
ultralytics_augment,Mosaic,class,dataset,dataset,True,none,none,True,True,True,True,none,none,True,image+instances+labels+semantic,image+instances+labels+semantic,True,image+instances+labels+semantic,image+instances+labels+semantic,True,dataset,dataset,True,none,none,True,python,python,True,True,True,True,fixed,fixed,True,True,True,True,many,many,True,one,one,True,combine,combine,True,2,12,__init__+super
ultralytics_augment,MixUp,class,none,none,True,none,none,True,True,True,True,none,none,True,image+instances+labels+semantic,image+instances+labels+semantic,True,image+instances+labels+semantic,image+instances+labels+semantic,True,dataset,dataset,True,none,none,True,numpy+python,numpy+python,True,True,True,True,fixed,fixed,True,True,True,True,many,many,True,one,one,True,combine,combine,True,2,10,__init__+super
ultralytics_augment,CutMix,class,none,none,True,none,none,True,True,True,True,none,none,True,image+instances+labels+semantic,image+instances+labels+semantic,True,image+instances+labels+semantic,image+instances+labels+semantic,True,dataset,dataset,True,none,none,True,numpy+python,numpy+python,True,True,True,True,fixed,fixed,True,True,True,True,many,many,True,one,one,True,combine,combine,True,2,11,__init__+super
ultralytics_augment,CopyPaste,class,none,none,True,none,none,True,True,True,True,none,none,True,image+instances+labels+semantic,image+instances+labels+semantic,True,image+instances+labels+semantic,image+instances+labels+semantic,True,dataset,dataset,True,none,none,True,python,python,True,True,True,True,fixed,fixed,True,True,True,True,many,many,True,one,one,True,combine,combine,True,2,12,ValueError+__init__+super
ultralytics_augment,RandomPerspective,class,none,none,True,none,none,True,True,True,True,none,none,True,depth+image+instances+keypoints+labels+semantic,depth+image+instances+keypoints+labels+semantic,True,depth+image+instances+keypoints+labels+semantic,depth+image+instances+keypoints+labels+semantic,True,none,none,True,none,none,True,python,python,True,False,False,True,fixed,fixed,True,True,True,True,one,one,True,one,one,True,preserve,preserve,True,1,11,none
