source_id,unit,unsafe_for_unary_optimizer,analysis_status,adapter,analysis_reasons,validator_reject,validator_reasons,decision_correct,evidence,effect_construction_external_reads,effect_construction_external_writes,effect_construction_state_writes,effect_construction_rng_sources,effect_execution_reads,effect_execution_writes,effect_execution_external_reads,effect_execution_external_writes,effect_rng_direct_sources,effect_rng_delegated,effect_target_signature,effect_target_coupled,effect_input_cardinality,effect_output_cardinality,effect_sample_identity,effect_execution_state_writes
monai_compose,Compose,True,resolved,monai,none,True,parametric_target_signature,True,entrypoint:__call__;rng_alias:self.R->numpy;schema:parametric,none,none,True,none,parametric,parametric,none,none,numpy,True,parametric,True,one,one,preserve,False
monai_compose,OneOf,True,resolved,monai,none,True,parametric_target_signature,True,entrypoint:__call__;rng_alias:self.R->numpy;schema:parametric,none,none,True,none,parametric,parametric,none,none,numpy,True,parametric,True,one,one,preserve,False
monai_compose,RandomOrder,True,resolved,monai,none,True,parametric_target_signature,True,entrypoint:__call__;rng_alias:self.R->numpy;schema:parametric,none,none,True,none,parametric,parametric,none,none,numpy,True,parametric,True,one,one,preserve,False
monai_compose,SomeOf,True,resolved,monai,none,True,parametric_target_signature,True,entrypoint:__call__;rng_alias:self.R->numpy;schema:parametric,none,none,True,none,parametric,parametric,none,none,numpy,True,parametric,True,one,one,preserve,False
mmdet_transforms,RandomFlip,False,resolved,mmdetection,none,False,none,True,entrypoint:external-base-transform;record_schema:results;lineage:preserve,none,none,False,none,image+instances+semantic,image+instances+semantic,none,none,none,True,fixed,True,one,one,preserve,False
mmdet_transforms,RandomCrop,False,resolved,mmdetection,none,False,none,True,entrypoint:transform;record_schema:results;lineage:preserve,none,none,True,none,image+instances+labels+semantic,image+instances+labels+semantic,none,none,numpy,False,fixed,True,one,one,preserve,False
mmdet_transforms,Mosaic,True,resolved,mmdetection,none,True,unsupported_cardinality:many->one;combined_sample_identity,True,entrypoint:transform;record_schema:results;lineage:combine,none,none,True,none,image+instances+labels,image+instances+labels,none,none,python,False,fixed,True,many,one,combine,False
mmdet_transforms,MixUp,True,resolved,mmdetection,none,True,unsupported_cardinality:many->one;combined_sample_identity,True,entrypoint:transform;record_schema:results;lineage:combine,none,none,True,none,image+instances+labels,image+instances+labels,none,none,python,False,fixed,True,many,one,combine,False
mmdet_transforms,CopyPaste,True,resolved,mmdetection,none,True,unsupported_cardinality:many->one;combined_sample_identity,True,entrypoint:transform;record_schema:results;lineage:combine,none,none,True,none,image+instances+labels,image+instances+labels,none,none,numpy,False,fixed,True,many,one,combine,False
mmdet_transforms,CachedMosaic,True,resolved,mmdetection,none,True,unsupported_cardinality:many->one;combined_sample_identity;execution_state_write,True,entrypoint:transform;record_schema:results;lineage:combine;execution_state:self.results_cache,none,none,True,none,image+instances+labels,image+instances+labels,none,none,python,False,fixed,True,many,one,combine,True
dali_pipeline,Pipeline,True,unknown,generic,missing_execution_entrypoint;unsupported_backend_graph:dali,True,analysis_unknown;missing_execution_entrypoint;unsupported_backend_graph:dali,True,v2_execution_nodes=0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
dali_pipeline,pipeline_def,True,unknown,generic,unresolved_factory_execution_semantics;unsupported_backend_graph:dali,True,analysis_unknown;unresolved_factory_execution_semantics;unsupported_backend_graph:dali,True,v2_execution_nodes=0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
