source_id,unit,unsafe_for_unary_optimizer,expected_decision,actual_decision,decision_correct,expected_reason_category,reason_category_match,analysis_status,adapter,analysis_reasons,validator_reasons,evidence,effect_construction_external_reads,effect_construction_external_writes,effect_construction_state_writes,effect_construction_rng_sources,effect_execution_reads,effect_execution_writes,effect_execution_external_reads,effect_execution_external_writes,effect_rng_direct_sources,effect_rng_delegated,effect_target_signature,effect_target_coupled,effect_input_cardinality,effect_output_cardinality,effect_sample_identity,effect_execution_state_writes
monai_compose_h7b,Compose,True,reject,reject,True,parametric_target_signature,True,resolved,monai,none,parametric_target_signature,entrypoint:__call__;rng_alias:self.R->numpy;schema:parametric,none,none,True,none,parametric,parametric,none,none,numpy,True,parametric,True,one,one,preserve,False
monai_compose_h7b,OneOf,True,reject,reject,True,parametric_target_signature,True,resolved,monai,none,parametric_target_signature,entrypoint:__call__;rng_alias:self.R->numpy;schema:parametric,none,none,True,none,parametric,parametric,none,none,numpy,True,parametric,True,one,one,preserve,False
monai_compose_h7b,RandomOrder,True,reject,reject,True,parametric_target_signature,True,resolved,monai,none,parametric_target_signature,entrypoint:__call__;rng_alias:self.R->numpy;schema:parametric,none,none,True,none,parametric,parametric,none,none,numpy,True,parametric,True,one,one,preserve,False
monai_compose_h7b,SomeOf,True,reject,reject,True,parametric_target_signature,True,resolved,monai,none,parametric_target_signature,entrypoint:__call__;rng_alias:self.R->numpy;schema:parametric,none,none,True,none,parametric,parametric,none,none,numpy,True,parametric,True,one,one,preserve,False
mmdet_transforms_h7b,RandomFlip,False,admit,admit,True,none,True,resolved,mmdetection,none,none,entrypoint:external-base-transform;record_schema:results;lineage:preserve,none,none,False,none,image+instances+semantic,image+instances+semantic,none,none,none,True,fixed,True,one,one,preserve,False
mmdet_transforms_h7b,RandomCrop,False,admit,admit,True,none,True,resolved,mmdetection,none,none,entrypoint:transform;record_schema:results;lineage:preserve,none,none,True,none,image+instances+labels+semantic,image+instances+labels+semantic,none,none,numpy,False,fixed,True,one,one,preserve,False
mmdet_transforms_h7b,RandomShift,False,admit,admit,True,none,True,resolved,mmdetection,none,none,entrypoint:transform;record_schema:results;lineage:preserve,none,none,True,none,image+instances+labels,image+instances+labels,none,none,python,False,fixed,True,one,one,preserve,False
mmdet_transforms_h7b,Mosaic,True,reject,reject,True,unsupported_cardinality,True,resolved,mmdetection,none,unsupported_cardinality:many->one;combined_sample_identity,entrypoint:transform;record_schema:results;lineage:combine,none,none,True,none,image+instances+labels,image+instances+labels,none,none,python,False,fixed,True,many,one,combine,False
mmdet_transforms_h7b,MixUp,True,reject,reject,True,unsupported_cardinality,True,resolved,mmdetection,none,unsupported_cardinality:many->one;combined_sample_identity,entrypoint:transform;record_schema:results;lineage:combine,none,none,True,none,image+instances+labels,image+instances+labels,none,none,python,False,fixed,True,many,one,combine,False
mmdet_transforms_h7b,CopyPaste,True,reject,reject,True,unsupported_cardinality,True,resolved,mmdetection,none,unsupported_cardinality:many->one;combined_sample_identity,entrypoint:transform;record_schema:results;lineage:combine,none,none,True,none,image+instances+labels,image+instances+labels,none,none,numpy,False,fixed,True,many,one,combine,False
mmdet_transforms_h7b,CachedMosaic,True,reject,reject,True,execution_state_write,True,resolved,mmdetection,none,unsupported_cardinality:many->one;combined_sample_identity;execution_state_write,entrypoint:transform;record_schema:results;lineage:combine;execution_state:self.results_cache,none,none,True,none,image+instances+labels,image+instances+labels,none,none,python,False,fixed,True,many,one,combine,True
mmdet_transforms_h7b,CachedMixUp,True,reject,reject,True,execution_state_write,True,resolved,mmdetection,none,unsupported_cardinality:many->one;combined_sample_identity;execution_state_write,entrypoint:transform;record_schema:results;lineage:combine;execution_state:self.results_cache,none,none,True,none,image+instances+labels,image+instances+labels,none,none,python,False,fixed,True,many,one,combine,True
dali_pipeline_h7b,Pipeline,True,reject,reject,True,analysis_unknown,True,unknown,generic,missing_execution_entrypoint;unsupported_backend_graph:dali,analysis_unknown;missing_execution_entrypoint;unsupported_backend_graph:dali,v2_execution_nodes=0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
dali_pipeline_h7b,pipeline_def,True,reject,reject,True,analysis_unknown,True,unknown,generic,unresolved_factory_execution_semantics;unsupported_backend_graph:dali,analysis_unknown;unresolved_factory_execution_semantics;unsupported_backend_graph:dali,v2_execution_nodes=0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
