corpus,unit,expected,actual,decision_correct,reason_match,state_roles,required_modes,super_resolution,reasons
TorchIO,Compose,reject,reject,True,True,none,none,complete,unresolved_child_effect
TorchIO,OneOf,reject,reject,True,True,none,none,complete,unresolved_child_effect
TorchIO,RandomFlip,admit,admit,True,True,none,none,complete,none
TorchIO,RandomNoise,admit,admit,True,True,none,none,complete,none
TorchIO,RandomAffine,admit,admit,True,True,none,none,complete,none
TorchIO,RandomBlur,admit,admit,True,True,none,none,complete,none
TorchIO,RandomGamma,admit,admit,True,True,none,none,complete,none
TorchIO,RandomMotion,admit,admit,True,True,none,none,complete,none
TorchIO,RandomSwap,admit,admit,True,True,none,none,complete,none
TorchIO,Lambda,reject,reject,True,True,none,none,complete,unresolved_user_callable
TorchIO,MonaiAdapter,reject,reject,True,True,none,none,complete,external_framework_delegation
audiomentations,audiomentations.Normalize,admit,admit,True,True,replayable,parameters_unfrozen,complete,none
audiomentations,audiomentations.PolarityInversion,admit,admit,True,True,replayable,parameters_unfrozen,complete,none
audiomentations,audiomentations.AddGaussianNoise,admit,admit,True,True,replayable,parameters_unfrozen,complete,none
audiomentations,audiomentations.Clip,admit,admit,True,True,replayable,parameters_unfrozen,complete,none
audiomentations,audiomentations.Lambda,reject,reject,True,True,replayable,parameters_unfrozen,complete,unresolved_user_callable
audiomentations,audiomentations.Compose,reject,reject,True,True,none,none,complete,unresolved_child_effect
audiomentations,audiomentations.AddBackgroundNoise,reject,reject,True,True,cache;replayable,parameters_unfrozen,complete,unresolved_user_callable;execution_external_effect;execution_cache_state
