corpus,unit,expected,actual,decision_correct,reason_match,state_accesses,callable_origins,named_modes,reasons
TorchIO,Compose,reject,reject,True,True,none,none,none,unresolved_child_effect
TorchIO,OneOf,reject,reject,True,True,none,none,none,unresolved_child_effect
TorchIO,RandomFlip,admit,admit,True,True,none,none,none,none
TorchIO,RandomNoise,admit,admit,True,True,none,none,none,none
TorchIO,RandomAffine,admit,admit,True,True,none,none,none,none
TorchIO,RandomBlur,admit,admit,True,True,none,none,none,none
TorchIO,RandomGamma,admit,admit,True,True,none,none,none,none
TorchIO,RandomMotion,admit,admit,True,True,none,none,none,none
TorchIO,RandomSwap,admit,admit,True,True,none,none,none,none
TorchIO,Lambda,reject,reject,True,True,none,none,none,unresolved_user_callable
TorchIO,MonaiAdapter,reject,reject,True,True,none,none,none,external_framework_delegation
audiomentations,audiomentations.Normalize,admit,admit,True,True,subscript:self.parameters,none,audiomentations.parameters_unfrozen,none
audiomentations,audiomentations.PolarityInversion,admit,admit,True,True,subscript:self.parameters,none,audiomentations.parameters_unfrozen,none
audiomentations,audiomentations.AddGaussianNoise,admit,admit,True,True,subscript:self.parameters,none,audiomentations.parameters_unfrozen,none
audiomentations,audiomentations.Clip,admit,admit,True,True,subscript:self.parameters,none,audiomentations.parameters_unfrozen,none
audiomentations,audiomentations.Lambda,reject,reject,True,True,subscript:self.parameters,none,audiomentations.parameters_unfrozen,unresolved_user_callable
audiomentations,audiomentations.Compose,reject,reject,True,True,none,none,none,unresolved_child_effect
audiomentations,audiomentations.AddBackgroundNoise,reject,reject,True,True,subscript:self.parameters;subscript:self.time_info_arr,none,audiomentations.parameters_unfrozen,unresolved_user_callable;execution_external_effect;execution_cache_state
imgaug,imgaug.augmenters.meta.Identity,admit,admit,True,True,none,none,none,none
imgaug,imgaug.augmenters.flip.Fliplr,admit,admit,True,True,delegated_mutation:self.random_state,none,imgaug.deterministic,none
imgaug,imgaug.augmenters.arithmetic.Add,admit,admit,True,True,delegated_mutation:self.random_state,none,imgaug.deterministic,none
imgaug,imgaug.augmenters.blur.GaussianBlur,admit,admit,True,True,delegated_mutation:self.random_state,none,imgaug.deterministic,none
imgaug,imgaug.augmenters.meta.Sequential,reject,reject,True,True,delegated_mutation:self.random_state,none,imgaug.deterministic,unresolved_child_effect
imgaug,imgaug.augmenters.meta.Sometimes,reject,reject,True,True,delegated_mutation:self.random_state,none,imgaug.deterministic,unresolved_child_effect
imgaug,imgaug.augmenters.meta.Lambda,reject,reject,True,True,delegated_mutation:self.random_state,func_bounding_boxes=public_input;func_heatmaps=public_input;func_images=public_input;func_keypoints=public_input;func_line_strings=public_input;func_polygons=public_input;func_segmentation_maps=public_input,imgaug.deterministic,unresolved_user_callable;unresolved_callable_origin:public_input
imgaug,imgaug.augmenters.debug.SaveDebugImageEveryNBatches,reject,reject,True,True,none,none,none,execution_external_effect
imgaug,imgaug.augmenters.arithmetic.Multiply,admit,admit,True,True,delegated_mutation:self.random_state,none,imgaug.deterministic,none
imgaug,imgaug.augmenters.blur.AverageBlur,admit,admit,True,True,delegated_mutation:self.random_state,none,imgaug.deterministic,none
imgaug,imgaug.augmenters.geometric.Affine,admit,admit,True,True,delegated_mutation:self.random_state,none,imgaug.deterministic,none
imgaug,imgaug.augmenters.size.CropToFixedSize,admit,admit,True,True,delegated_mutation:self.random_state,none,imgaug.deterministic,none
imgaug,imgaug.augmenters.contrast.LinearContrast,admit,admit,True,True,delegated_mutation:self.random_state,func=module_bound,imgaug.deterministic,none
imgaug,imgaug.augmenters.meta.SomeOf,reject,reject,True,True,delegated_mutation:self.random_state,none,imgaug.deterministic,unresolved_child_effect
imgaug,imgaug.augmenters.meta.WithChannels,reject,reject,True,True,none,none,none,unresolved_child_effect
imgaug,imgaug.augmenters.meta.AssertLambda,reject,reject,True,True,delegated_mutation:self.random_state,func_bounding_boxes=public_input_derived;func_heatmaps=public_input_derived;func_images=public_input_derived;func_keypoints=public_input_derived;func_line_strings=public_input_derived;func_polygons=public_input_derived;func_segmentation_maps=public_input_derived,imgaug.deterministic,unresolved_user_callable;unresolved_callable_origin:public_input_derived
