corpus,unit,configuration,phase,expected,actual,reason_match,decision_correct
TorchIO,Compose,legacy,sample_apply,reject,reject,True,True
TorchIO,OneOf,legacy,sample_apply,reject,reject,True,True
TorchIO,RandomFlip,legacy,sample_apply,admit,admit,True,True
TorchIO,RandomNoise,legacy,sample_apply,admit,admit,True,True
TorchIO,RandomAffine,legacy,sample_apply,admit,admit,True,True
TorchIO,RandomBlur,legacy,sample_apply,admit,admit,True,True
TorchIO,RandomGamma,legacy,sample_apply,admit,admit,True,True
TorchIO,RandomMotion,legacy,sample_apply,admit,admit,True,True
TorchIO,RandomSwap,legacy,sample_apply,admit,admit,True,True
TorchIO,Lambda,legacy,sample_apply,reject,reject,True,True
TorchIO,MonaiAdapter,legacy,sample_apply,reject,reject,True,True
audiomentations,audiomentations.Normalize,legacy,sample_apply,admit,admit,True,True
audiomentations,audiomentations.PolarityInversion,legacy,sample_apply,admit,admit,True,True
audiomentations,audiomentations.AddGaussianNoise,legacy,sample_apply,admit,admit,True,True
audiomentations,audiomentations.Clip,legacy,sample_apply,admit,admit,True,True
audiomentations,audiomentations.Lambda,legacy,sample_apply,reject,reject,True,True
audiomentations,audiomentations.Compose,legacy,sample_apply,reject,reject,True,True
audiomentations,audiomentations.AddBackgroundNoise,legacy,sample_apply,reject,reject,True,True
imgaug,imgaug.augmenters.meta.Identity,legacy,replay_apply,admit,admit,True,True
imgaug,imgaug.augmenters.flip.Fliplr,legacy,replay_apply,admit,admit,True,True
imgaug,imgaug.augmenters.arithmetic.Add,legacy,replay_apply,admit,admit,True,True
imgaug,imgaug.augmenters.blur.GaussianBlur,legacy,replay_apply,admit,admit,True,True
imgaug,imgaug.augmenters.meta.Sequential,legacy,replay_apply,reject,reject,True,True
imgaug,imgaug.augmenters.meta.Sometimes,legacy,replay_apply,reject,reject,True,True
imgaug,imgaug.augmenters.meta.Lambda,legacy,replay_apply,reject,reject,True,True
imgaug,imgaug.augmenters.debug.SaveDebugImageEveryNBatches,legacy,replay_apply,reject,reject,True,True
imgaug,imgaug.augmenters.arithmetic.Multiply,legacy,replay_apply,admit,admit,True,True
imgaug,imgaug.augmenters.blur.AverageBlur,legacy,replay_apply,admit,admit,True,True
imgaug,imgaug.augmenters.geometric.Affine,legacy,replay_apply,admit,admit,True,True
imgaug,imgaug.augmenters.size.CropToFixedSize,legacy,replay_apply,admit,admit,True,True
imgaug,imgaug.augmenters.contrast.LinearContrast,legacy,replay_apply,admit,admit,True,True
imgaug,imgaug.augmenters.meta.SomeOf,legacy,replay_apply,reject,reject,True,True
imgaug,imgaug.augmenters.meta.WithChannels,legacy,replay_apply,reject,reject,True,True
imgaug,imgaug.augmenters.meta.AssertLambda,legacy,replay_apply,reject,reject,True,True
Albumentations-H7G-posthoc,albumentations.augmentations.mixing.domain_adaptation.HistogramMatching,albumentations.replay,replay_apply,admit,admit,True,True
Albumentations-H7G-posthoc,albumentations.augmentations.mixing.domain_adaptation.HistogramMatching,albumentations.record,sample_apply,reject,reject,True,True
