batch,size,seed,iterations,sample_apply_ms,replay_apply_ms,speedup,certificate_validate_ms,validation_over_replay
1,32,101,15,4.2816,3.9864,1.074051776038531,0.6149,0.1542494481236203
1,32,211,15,4.5459,4.648,0.9780335628227195,0.9176,0.1974182444061962
1,32,307,15,5.0667,3.7511,1.3507237876889446,0.5281,0.14078536962491003
1,32,401,15,4.0778,3.4966,1.1662186123662988,0.4553,0.13021220614311044
1,32,503,15,4.3805,3.5843,1.2221354239321485,0.4779,0.1333314733699746
4,64,101,15,7.7401,7.7335,1.0008534298829765,0.5487,0.07095105708928687
4,64,211,15,9.4036,8.2608,1.1383401123377883,0.6479,0.07843066046871974
4,64,307,15,8.9546,7.3334,1.2210707175389313,0.4817,0.06568576649303189
4,64,401,15,7.2441,6.7465,1.0737567627658786,0.4872,0.07221522270807085
4,64,503,15,8.0075,7.3075,1.0957919945261718,0.8674,0.11869996578857338
8,128,101,15,33.9344,35.7453,0.9493387941911243,0.5032,0.01407737520736992
8,128,211,15,33.4856,36.9006,0.9074540793374634,0.6038,0.016362877568386423
8,128,307,15,33.5759,33.2667,1.0092945798651503,0.6603,0.019848677506335163
8,128,401,15,32.2963,33.302,0.9698006125758214,0.4729,0.014200348327427783
8,128,503,15,31.798,33.092,0.9608968935090052,0.5546,0.016759337604254805
