round,order,pool_size,workers,calls,elapsed_ms,calls_per_second,observed_slots,correct,error_count
0,1->2->4,1,4,100,1771.1026,56.462002822422605,0,True,0
0,1->2->4,2,4,100,1365.4235,73.23735090248556,"0,1",True,0
0,1->2->4,4,4,100,1386.5804,72.11987130353205,"0,1,2,3",True,0
1,2->1->4,2,4,100,1322.7137,75.6021503368416,"0,1",True,0
1,2->1->4,1,4,100,1443.802,69.26157464804731,0,True,0
1,2->1->4,4,4,100,1314.5068,76.07415952507814,"0,1,2,3",True,0
2,2->4->1,2,4,100,1239.1678,80.69932094749396,"0,1",True,0
2,2->4->1,4,4,100,1389.1181,71.98811965663683,"0,1,2,3",True,0
2,2->4->1,1,4,100,1559.1754,64.13646598067157,0,True,0
3,4->1->2,4,4,100,1394.4371,71.71352512063828,"0,1,2,3",True,0
3,4->1->2,1,4,100,1377.222,72.60993507219607,0,True,0
3,4->1->2,2,4,100,1249.6358,80.02331559323125,"0,1",True,0
4,4->1->2,4,4,100,1330.2217,75.17543880091566,"0,1,2,3",True,0
4,4->1->2,1,4,100,1375.5555,72.6979027745518,0,True,0
4,4->1->2,2,4,100,1278.3476,78.22598485732675,"0,1",True,0
