batch,size,round,order,iterations,h7k_minimal_ms,h7l_signed_registry_ms,h7l_over_h7k,absolute_overhead_ms
1,32,0,h7l->h7k,10,8.925450000000001,12.3001,1.3780929813062646,3.374649999999999
1,32,1,h7l->h7k,10,9.54035,13.141449999999999,1.3774599464380237,3.601099999999999
1,32,2,h7k->h7l,10,9.7819,13.961400000000001,1.4272687310236254,4.179500000000001
1,32,3,h7l->h7k,10,9.7089,13.09135,1.3483865319449166,3.3824500000000004
1,32,4,h7k->h7l,10,9.407499999999999,13.077950000000001,1.390162104703694,3.6704500000000024
1,32,5,h7k->h7l,10,9.6262,13.5418,1.4067648708732416,3.9155999999999995
1,32,6,h7k->h7l,10,10.76325,13.9985,1.3005830023459457,3.2352500000000006
1,32,7,h7k->h7l,10,10.39,14.02975,1.350312800769971,3.6397499999999994
1,32,8,h7l->h7k,10,9.7299,14.1167,1.4508576655464083,4.386799999999999
1,32,9,h7l->h7k,10,8.1912,12.7436,1.5557671647621838,4.5524000000000004
4,64,0,h7l->h7k,10,21.6418,19.780450000000002,0.9139928286926227,-1.861349999999998
4,64,1,h7l->h7k,10,19.8213,19.966,1.0073002275330074,0.14470000000000027
4,64,2,h7k->h7l,10,15.1964,17.20975,1.1324886157247769,2.013349999999999
4,64,3,h7l->h7k,10,15.845849999999999,17.77975,1.1220445731847772,1.9339000000000013
4,64,4,h7l->h7k,10,21.14585,19.48195,0.9213131654674559,-1.6638999999999982
4,64,5,h7k->h7l,10,22.609,19.8627,0.8785306736255473,-2.7463000000000015
4,64,6,h7k->h7l,10,14.10025,18.424300000000002,1.306664775447244,4.3240500000000015
4,64,7,h7l->h7k,10,14.5701,18.3719,1.2609316339627044,3.8018
4,64,8,h7l->h7k,10,17.63615,20.0383,1.13620603136172,2.402149999999999
4,64,9,h7l->h7k,10,14.783999999999999,19.2994,1.3054247835497836,4.5154
8,128,0,h7l->h7k,10,46.83555,58.17465,1.242104555193651,11.339100000000002
8,128,1,h7l->h7k,10,51.601600000000005,55.41915,1.0739812331400576,3.817549999999997
8,128,2,h7k->h7l,10,47.2957,59.99655,1.2685413261670724,12.700850000000003
8,128,3,h7k->h7l,10,52.1847,64.02875,1.2269640335194032,11.844050000000003
8,128,4,h7k->h7l,10,57.71585,59.171,1.0252123116960072,1.4551499999999962
8,128,5,h7l->h7k,10,55.48335,61.62505,1.110694469602142,6.1417
8,128,6,h7l->h7k,10,54.95095,61.97235,1.127775770937536,7.0214
8,128,7,h7l->h7k,10,58.243399999999994,60.3878,1.0368179055480966,2.1444000000000045
8,128,8,h7l->h7k,10,59.9713,64.091,1.0686945255480538,4.119699999999995
8,128,9,h7k->h7l,10,55.03635,58.9553,1.0712065752906943,3.9189500000000024
