batch_size,round,h7l_issue_total_ms,h7m_issue_total_ms,h7l_consume_total_ms,h7m_consume_total_ms,h7l_issue_per_sample_ms,h7m_issue_per_sample_ms,h7l_consume_per_sample_ms,h7m_consume_per_sample_ms,h7m_over_h7l_consumer,h7l_wire_bytes_total,h7m_wire_bytes_total,h7l_wire_bytes_per_sample,h7m_wire_bytes_per_sample,commit_idempotent
1,0,3.684,5.5746,3.8366,6.729,3.684,5.5746,3.8366,6.729,1.7538966793515092,1021,1297,1021.0,1297.0,False
1,1,3.9481,3.7325,3.5678,6.7044,3.9481,3.7325,3.5678,6.7044,1.8791412074667861,1021,1297,1021.0,1297.0,False
1,2,3.8172,3.7829,3.8944,7.3623,3.8172,3.7829,3.8944,7.3623,1.8904837715694331,1021,1297,1021.0,1297.0,False
1,3,3.4407,3.5264,3.8683,6.8237,3.4407,3.5264,3.8683,6.8237,1.7640048600160276,1021,1297,1021.0,1297.0,False
1,4,3.6834,3.5196,3.5684,7.1889,3.6834,3.5196,3.5684,7.1889,2.0146003811231927,1021,1297,1021.0,1297.0,False
1,5,3.7058,3.5863,3.6488,7.3459,3.7058,3.5863,3.6488,7.3459,2.0132372286779217,1021,1297,1021.0,1297.0,False
1,6,4.0826,4.0161,3.6192,9.3733,4.0826,4.0161,3.6192,9.3733,2.589881741821397,1021,1297,1021.0,1297.0,False
1,7,6.4123,3.7293,3.6653,6.9273,6.4123,3.7293,3.6653,6.9273,1.8899680790112678,1021,1297,1021.0,1297.0,False
1,8,3.4447,3.5043,3.7007,7.1477,3.4447,3.5043,3.7007,7.1477,1.9314454022212015,1021,1297,1021.0,1297.0,False
1,9,3.6148,3.6072,3.6098,6.9875,3.6148,3.6072,3.6098,6.9875,1.9357028090198902,1021,1297,1021.0,1297.0,False
4,0,15.0011,3.9689,14.3168,7.757,3.750275,0.992225,3.5792,1.93925,0.5418110192221725,4084,4289,1021.0,1072.25,False
4,1,14.2031,3.7607,15.0125,7.3987,3.550775,0.940175,3.753125,1.849675,0.4928359700249792,4084,4289,1021.0,1072.25,False
4,2,15.3664,3.848,14.7094,7.1485,3.8416,0.962,3.67735,1.787125,0.48598175316464304,4084,4289,1021.0,1072.25,False
4,3,14.4586,4.0109,14.9493,6.7588,3.61465,1.002725,3.737325,1.6897,0.45211481474048953,4084,4289,1021.0,1072.25,False
4,4,14.9932,3.568,16.9042,9.4493,3.7483,0.892,4.22605,2.362325,0.5589912566107831,4084,4289,1021.0,1072.25,False
4,5,15.1554,4.0611,17.1416,7.4197,3.78885,1.015275,4.2854,1.854925,0.43284757548886915,4084,4289,1021.0,1072.25,False
4,6,14.9336,3.9104,15.6911,8.1095,3.7334,0.9776,3.922775,2.027375,0.5168216377436892,4084,4289,1021.0,1072.25,False
4,7,14.9465,3.848,15.9137,7.4002,3.736625,0.962,3.978425,1.85005,0.4650207054299126,4084,4289,1021.0,1072.25,False
4,8,15.0063,3.7366,15.7754,7.6248,3.751575,0.93415,3.94385,1.9062,0.4833348124294788,4084,4289,1021.0,1072.25,False
4,9,15.2991,4.0197,14.4223,7.0759,3.824775,1.004925,3.605575,1.768975,0.49062216151376686,4084,4289,1021.0,1072.25,False
16,0,59.6851,4.8222,66.6514,9.0766,3.73031875,0.3013875,4.1657125,0.5672875,0.1361801852624251,16348,18501,1021.75,1156.3125,False
16,1,62.5364,4.9696,64.7688,9.0369,3.908525,0.3106,4.04805,0.56480625,0.13952551228369214,16348,18501,1021.75,1156.3125,False
16,2,62.5614,4.7802,65.8792,8.1736,3.9100875,0.2987625,4.11745,0.51085,0.12406950904078982,16348,18501,1021.75,1156.3125,False
16,3,74.2832,4.6878,66.9723,10.3907,4.6427,0.2929875,4.18576875,0.64941875,0.15514921840820758,16348,18501,1021.75,1156.3125,False
16,4,62.0125,4.7142,66.996,11.432,3.87578125,0.2946375,4.18725,0.7145,0.1706370529583856,16348,18501,1021.75,1156.3125,False
16,5,64.7989,4.1445,62.4689,9.0067,4.04993125,0.25903125,3.90430625,0.56291875,0.14417894344225687,16348,18501,1021.75,1156.3125,False
16,6,69.419,4.6735,64.5014,8.5868,4.3386875,0.29209375,4.0313375,0.536675,0.13312579261845478,16348,18501,1021.75,1156.3125,False
16,7,73.8556,5.7595,66.8332,8.9369,4.615975,0.35996875,4.177075,0.55855625,0.13371946876701996,16348,18501,1021.75,1156.3125,False
16,8,63.9366,4.9367,84.5137,8.8102,3.9960375,0.30854375,5.28210625,0.5506375,0.10424582050010826,16348,18501,1021.75,1156.3125,False
16,9,63.1234,4.782,67.5808,10.0295,3.9452125,0.298875,4.2238,0.62684375,0.1484075358681756,16348,18501,1021.75,1156.3125,False
64,0,257.3475,8.0006,272.9908,13.5141,4.0210546875,0.125009375,4.26548125,0.2111578125,0.049503866064350886,65452,84293,1022.6875,1317.078125,False
64,1,251.3399,7.2324,268.2078,14.7464,3.9271859375,0.11300625,4.190746875,0.2304125,0.054981249613173064,65452,84293,1022.6875,1317.078125,False
64,2,262.8914,7.4238,261.4418,13.0124,4.107678125,0.115996875,4.085028125,0.20331875,0.049771689148407024,65452,84293,1022.6875,1317.078125,False
64,3,274.9932,7.3453,271.3824,15.9146,4.29676875,0.1147703125,4.24035,0.248665625,0.05864271227610928,65452,84293,1022.6875,1317.078125,False
64,4,265.4762,8.0528,280.7909,12.9504,4.148065625,0.125825,4.3873578125,0.20235,0.04612115278664657,65452,84293,1022.6875,1317.078125,False
64,5,260.3491,8.2913,268.3747,13.6494,4.0679546875,0.1295515625,4.1933546875,0.213271875,0.050859488617965846,65452,84293,1022.6875,1317.078125,False
64,6,313.9171,7.4393,293.825,11.3471,4.9049546875,0.1162390625,4.591015625,0.1772984375,0.038618565472645285,65452,84293,1022.6875,1317.078125,False
64,7,246.5039,5.8401,277.8711,15.7816,3.8516234375,0.0912515625,4.3417359375,0.2465875,0.056794679259555954,65452,84293,1022.6875,1317.078125,False
64,8,263.9433,9.109,263.1,14.3675,4.1241140625,0.142328125,4.1109375,0.2244921875,0.054608513873052066,65452,84293,1022.6875,1317.078125,False
64,9,246.3413,6.0356,252.1815,14.0666,3.8490828125,0.09430625,3.9403359375,0.219790625,0.05577966662899538,65452,84293,1022.6875,1317.078125,False
