round,order,batch_size,iterations,h7k_ms,h7l_ms,h7m_ms,h7l_over_h7k,h7m_over_h7k,h7m_over_h7l
0,h7k->h7m->h7l,4,10,31.2485,48.0733,43.89435,1.5384194441333185,1.4046866249579981,0.913071289052343
1,h7k->h7m->h7l,4,10,26.901049999999998,49.4988,41.0201,1.8400322663985238,1.524851260452659,0.8287089788035265
2,h7l->h7m->h7k,4,10,33.13905,47.8481,41.11945,1.4438585294388344,1.2408155936878096,0.859374771412031
3,h7k->h7l->h7m,4,10,33.683,49.02795,41.214200000000005,1.4555695751566071,1.223590535284862,0.8406266221614407
4,h7k->h7m->h7l,4,10,31.77105,49.9464,41.435050000000004,1.5720726888157615,1.3041762862731954,0.8295903208239234
5,h7k->h7m->h7l,4,10,31.1838,48.56845,42.491249999999994,1.5574897863634323,1.3626065457064243,0.8748735032721858
6,h7l->h7m->h7k,4,10,31.7269,48.8651,37.416799999999995,1.540178838777189,1.1793399292083373,0.7657162269185983
7,h7m->h7k->h7l,4,10,30.526899999999998,46.70015,38.6713,1.529803222731427,1.2667942044557425,0.8280765693472077
8,h7m->h7k->h7l,4,10,29.93485,44.4841,40.81835,1.486030496227641,1.3635728924648027,0.9175941516182188
9,h7l->h7k->h7m,4,10,30.4795,46.868300000000005,38.54075,1.5376991092373564,1.264481044636559,0.8223202036344395
