policy,case_id,expected,predicted,outcome,reasons,elapsed_ms,calls
dynamic_reprobe,stable_same_instance,admit,admit,classified,none,135.0937,4
output_snapshot_guard,stable_same_instance,admit,admit,classified,none,41.4897,4
lineage_v1,stable_same_instance,admit,admit,classified,none,5.8627,0
measured_source_v2_candidate,stable_same_instance,admit,admit,classified,none,274.0400,0
dynamic_reprobe,stable_equivalent_instance,admit,admit,classified,none,45.5299,4
output_snapshot_guard,stable_equivalent_instance,admit,admit,classified,none,39.7553,4
lineage_v1,stable_equivalent_instance,admit,admit,classified,none,2.1113,0
measured_source_v2_candidate,stable_equivalent_instance,admit,admit,classified,none,259.4394,0
dynamic_reprobe,honest_framework_version_drift,reject,admit,classified,none,40.8956,4
output_snapshot_guard,honest_framework_version_drift,reject,admit,classified,none,48.4481,4
lineage_v1,honest_framework_version_drift,reject,reject,classified,framework_version_mismatch,2.6438,0
measured_source_v2_candidate,honest_framework_version_drift,reject,reject,classified,framework_version_mismatch,277.6022,0
dynamic_reprobe,honest_repository_commit_drift,reject,admit,classified,none,40.0674,4
output_snapshot_guard,honest_repository_commit_drift,reject,admit,classified,none,41.6988,4
lineage_v1,honest_repository_commit_drift,reject,reject,classified,repository_commit_mismatch,1.5552,0
measured_source_v2_candidate,honest_repository_commit_drift,reject,reject,classified,repository_commit_mismatch,189.4210,0
dynamic_reprobe,sample_lineage_drift,reject,admit,classified,none,43.9846,4
output_snapshot_guard,sample_lineage_drift,reject,admit,classified,none,38.0935,4
lineage_v1,sample_lineage_drift,reject,reject,classified,sample_lineage_mismatch,2.0033,0
measured_source_v2_candidate,sample_lineage_drift,reject,reject,classified,sample_lineage_mismatch,245.6444,0
dynamic_reprobe,operator_configuration_drift,reject,admit,classified,none,37.2795,4
output_snapshot_guard,operator_configuration_drift,reject,admit,classified,none,33.2724,4
lineage_v1,operator_configuration_drift,reject,reject,classified,operator_graph_mismatch,1.9093,0
measured_source_v2_candidate,operator_configuration_drift,reject,reject,classified,operator_graph_mismatch,346.9969,0
dynamic_reprobe,child_order_drift,reject,reject,crash,runtime_crash:AttributeError,4.1314,0
output_snapshot_guard,child_order_drift,reject,reject,crash,runtime_crash:AttributeError,6.4080,0
lineage_v1,child_order_drift,reject,reject,classified,operator_graph_mismatch;unknown_child_binding:RandomHorizontalFlip_0;unknown_child_binding:ColorJiggle_2;incomplete_or_reordered_child_sequence,2.2432,0
measured_source_v2_candidate,child_order_drift,reject,reject,classified,operator_graph_mismatch;unknown_child_binding:RandomHorizontalFlip_0;unknown_child_binding:ColorJiggle_2;incomplete_or_reordered_child_sequence;executable_source_mismatch,339.0078,0
dynamic_reprobe,input_schema_drift,reject,admit,classified,none,41.5708,4
output_snapshot_guard,input_schema_drift,reject,reject,classified,registered_output_mismatch,42.5296,4
lineage_v1,input_schema_drift,reject,reject,classified,input_schema_mismatch,1.7813,0
measured_source_v2_candidate,input_schema_drift,reject,reject,classified,input_schema_mismatch,216.3922,0
dynamic_reprobe,parameter_record_drift,reject,admit,classified,none,37.9711,4
output_snapshot_guard,parameter_record_drift,reject,admit,classified,none,41.5540,4
lineage_v1,parameter_record_drift,reject,reject,classified,parameter_record_mismatch,1.8579,0
measured_source_v2_candidate,parameter_record_drift,reject,reject,classified,parameter_record_mismatch,210.9522,0
dynamic_reprobe,missing_child_record,reject,admit,classified,none,21.2414,4
output_snapshot_guard,missing_child_record,reject,reject,classified,registered_output_mismatch,26.3040,4
lineage_v1,missing_child_record,reject,reject,classified,parameter_record_mismatch;child_sequence_mismatch;incomplete_or_reordered_child_sequence,1.8223,0
measured_source_v2_candidate,missing_child_record,reject,reject,classified,parameter_record_mismatch;child_sequence_mismatch;incomplete_or_reordered_child_sequence,379.9790,0
dynamic_reprobe,unsupported_child_effect,reject,admit,classified,none,4.1169,4
output_snapshot_guard,unsupported_child_effect,reject,reject,classified,registered_output_mismatch,5.4678,4
lineage_v1,unsupported_child_effect,reject,reject,classified,operator_graph_mismatch;parameter_record_mismatch;child_sequence_mismatch;unsupported_child_effect:Identity_0,1.0411,0
measured_source_v2_candidate,unsupported_child_effect,reject,reject,classified,operator_graph_mismatch;parameter_record_mismatch;child_sequence_mismatch;unsupported_child_effect:Identity_0;executable_source_mismatch,151.7244,0
dynamic_reprobe,tampered_certificate,reject,admit,classified,none,43.0935,4
output_snapshot_guard,tampered_certificate,reject,admit,classified,none,53.3835,4
lineage_v1,tampered_certificate,reject,reject,classified,certificate_integrity_mismatch;sample_lineage_mismatch,6.4469,0
measured_source_v2_candidate,tampered_certificate,reject,reject,classified,certificate_integrity_mismatch;sample_lineage_mismatch,227.9457,0
dynamic_reprobe,silent_same_commit_callable_patch,reject,admit,classified,none,43.2820,4
output_snapshot_guard,silent_same_commit_callable_patch,reject,reject,classified,registered_output_mismatch,42.3244,4
lineage_v1,silent_same_commit_callable_patch,reject,admit,classified,none,1.9217,0
measured_source_v2_candidate,silent_same_commit_callable_patch,reject,reject,classified,executable_source_mismatch,252.7636,0
