policy,case_id,expected,decision,reasons,elapsed_ms
cached_digest_only,stable_equivalent_instance,admit,admit,none,1.6820
hot_callable_sentinel,stable_equivalent_instance,admit,admit,none,2.3646
cold_reindex,stable_equivalent_instance,admit,admit,none,351.6592
cached_digest_only,stable_after_runtime_state,admit,admit,none,1.8726
hot_callable_sentinel,stable_after_runtime_state,admit,admit,none,2.5817
cold_reindex,stable_after_runtime_state,admit,admit,none,377.3338
cached_digest_only,class_callable_replacement_after_deploy,reject,admit,none,2.5966
hot_callable_sentinel,class_callable_replacement_after_deploy,reject,reject,hot_callable_sentinel_mismatch,2.9424
cold_reindex,class_callable_replacement_after_deploy,reject,reject,portable_source_index_mismatch,416.3890
cached_digest_only,same_function_code_replacement_after_deploy,reject,admit,none,2.2263
hot_callable_sentinel,same_function_code_replacement_after_deploy,reject,reject,hot_callable_sentinel_mismatch,2.0054
cold_reindex,same_function_code_replacement_after_deploy,reject,reject,portable_source_index_mismatch,395.4796
cached_digest_only,instance_forward_override_after_deploy,reject,admit,none,2.2744
hot_callable_sentinel,instance_forward_override_after_deploy,reject,reject,hot_callable_sentinel_mismatch,3.0618
cold_reindex,instance_forward_override_after_deploy,reject,reject,portable_source_index_mismatch,422.9840
cached_digest_only,native_callable_override_after_deploy,unknown,admit,none,1.4158
hot_callable_sentinel,native_callable_override_after_deploy,unknown,unknown,unsupported_runtime_callable_or_dependency,2.6002
cold_reindex,native_callable_override_after_deploy,unknown,unknown,unsupported_cold_source_index,406.6742
