public_symbol,status,sha256,bytes,methods,method_names,limitation
imgaug.augmenters.arithmetic.Multiply,partial_static,2d33be8c40acff596daf57439bac08326e3d671f9d881f1fbd7df129ca458d26,1359,9,"['_augment_batch_', '_augment_bounding_boxes', '_augment_heatmaps', '_augment_images', '_augment_keypoints', '_augment_line_strings', '_augment_polygons', '_augment_segmentation_maps', 'augment_batch_']",defaults/closures/globals/native/runtime-origin/monkeypatch not measured
imgaug.augmenters.blur.AverageBlur,partial_static,c9c53f33091ecd4b94f24d6a2494628b74e291df2d31bd3a10c95694a35eeadf,1350,9,"['_augment_batch_', '_augment_bounding_boxes', '_augment_heatmaps', '_augment_images', '_augment_keypoints', '_augment_line_strings', '_augment_polygons', '_augment_segmentation_maps', 'augment_batch_']",defaults/closures/globals/native/runtime-origin/monkeypatch not measured
imgaug.augmenters.geometric.Affine,partial_static,e1cf7bef85feae52669a382a72db9953b39a558f04ae18ae687b430986245ae1,1355,9,"['_augment_batch_', '_augment_bounding_boxes', '_augment_heatmaps', '_augment_images', '_augment_keypoints', '_augment_line_strings', '_augment_polygons', '_augment_segmentation_maps', 'augment_batch_']",defaults/closures/globals/native/runtime-origin/monkeypatch not measured
imgaug.augmenters.size.CropToFixedSize,partial_static,08122733f2956b5e1516cd9b28408a9abce859447eaf9a8c5251592427f079ad,1354,9,"['_augment_batch_', '_augment_bounding_boxes', '_augment_heatmaps', '_augment_images', '_augment_keypoints', '_augment_line_strings', '_augment_polygons', '_augment_segmentation_maps', 'augment_batch_']",defaults/closures/globals/native/runtime-origin/monkeypatch not measured
imgaug.augmenters.contrast.LinearContrast,partial_static,a69b9a169d2712609f1517db0c96983540018d6b3f04cae3611d0c6aa0ba9963,1361,9,"['_augment_batch_', '_augment_bounding_boxes', '_augment_heatmaps', '_augment_images', '_augment_keypoints', '_augment_line_strings', '_augment_polygons', '_augment_segmentation_maps', 'augment_batch_']",defaults/closures/globals/native/runtime-origin/monkeypatch not measured
albumentations.augmentations.geometric.flip.VerticalFlip,partial_static,fcb21e4c79727aef9d40d69034774ddce7ab843492a294467bc9ec92236d09a8,702,3,"['__call__', 'apply', 'apply_with_params']",defaults/closures/globals/native/runtime-origin/monkeypatch not measured
albumentations.augmentations.pixel.transforms.RandomGamma,partial_static,9a4ad5d4f43b51bd462c999f239f5e186bb33b1e9896b571fa80bb6f9314519f,705,3,"['__call__', 'apply', 'apply_with_params']",defaults/closures/globals/native/runtime-origin/monkeypatch not measured
albumentations.augmentations.blur.transforms.GaussianBlur,partial_static,b59651419e8d0d079256ea90ae90fe5554ed3593fd629eef760709e9d237bd1e,704,3,"['__call__', 'apply', 'apply_with_params']",defaults/closures/globals/native/runtime-origin/monkeypatch not measured
albumentations.augmentations.geometric.transforms.Affine,partial_static,5de8bdd86e65045c3b8ed5b80a9ccb10ad7d50d4798ae62753c7c2482e2a4f56,708,3,"['__call__', 'apply', 'apply_with_params']",defaults/closures/globals/native/runtime-origin/monkeypatch not measured
albumentations.augmentations.crops.transforms.CenterCrop,partial_static,c225d0fe4c3870854bf450866b832b4012e37212931f21f5cbcb77ed7e8a9448,704,3,"['__call__', 'apply', 'apply_with_params']",defaults/closures/globals/native/runtime-origin/monkeypatch not measured
albumentations.augmentations.mixing.domain_adaptation.HistogramMatching,partial_static,b089c6caa84c58a2b02db58ce0035505f0e68d8c3553a940ac540fb3c2cb4f5c,727,3,"['__call__', 'apply', 'apply_with_params']",defaults/closures/globals/native/runtime-origin/monkeypatch not measured
