window,phase,policy,remote,local,batch_ms,cost_units,reconfigured
0,steady,one_shot_stable,0,8,585.720013725077,2905.171268076382,0
0,steady,change_aware,0,8,585.720013725077,2905.171268076382,0
0,steady,phase_oracle,0,8,585.720013725077,2905.171268076382,0
1,steady,one_shot_stable,0,8,581.8630140291211,2886.0405495844407,0
1,steady,change_aware,0,8,581.8630140291211,2886.0405495844407,0
1,steady,phase_oracle,0,8,581.8630140291211,2886.0405495844407,0
2,steady,one_shot_stable,0,8,582.3379242453677,2888.396104257024,0
2,steady,change_aware,0,8,582.3379242453677,2888.396104257024,0
2,steady,phase_oracle,0,8,582.3379242453677,2888.396104257024,0
3,steady,one_shot_stable,0,8,585.3126845259211,2903.1509152485687,0
3,steady,change_aware,0,8,585.3126845259211,2903.1509152485687,0
3,steady,phase_oracle,0,8,585.3126845259211,2903.1509152485687,0
4,steady,one_shot_stable,0,8,584.4948793957705,2899.0946018030213,0
4,steady,change_aware,0,8,584.4948793957705,2899.0946018030213,0
4,steady,phase_oracle,0,8,584.4948793957705,2899.0946018030213,0
5,steady,one_shot_stable,0,8,584.1981910819992,2897.623027766716,0
5,steady,change_aware,0,8,584.1981910819992,2897.623027766716,0
5,steady,phase_oracle,0,8,584.1981910819992,2897.623027766716,0
6,steady,one_shot_stable,0,8,587.3245045209021,2913.1295424236746,0
6,steady,change_aware,0,8,587.3245045209021,2913.1295424236746,0
6,steady,phase_oracle,0,8,587.3245045209021,2913.1295424236746,0
7,steady,one_shot_stable,0,8,585.6611508447558,2904.8793081899885,0
7,steady,change_aware,0,8,585.6611508447558,2904.8793081899885,0
7,steady,phase_oracle,0,8,585.6611508447558,2904.8793081899885,0
8,steady,one_shot_stable,0,8,575.1951887860472,2852.968136378794,0
8,steady,change_aware,0,8,575.1951887860472,2852.968136378794,0
8,steady,phase_oracle,0,8,575.1951887860472,2852.968136378794,0
9,steady,one_shot_stable,0,8,581.1484500465783,2882.4963122310282,0
9,steady,change_aware,0,8,581.1484500465783,2882.4963122310282,0
9,steady,phase_oracle,0,8,581.1484500465783,2882.4963122310282,0
10,steady,one_shot_stable,0,8,583.1190785909413,2892.270629811069,0
10,steady,change_aware,0,8,583.1190785909413,2892.270629811069,0
10,steady,phase_oracle,0,8,583.1190785909413,2892.270629811069,0
11,steady,one_shot_stable,0,8,580.3362378339191,2878.467739656239,0
11,steady,change_aware,0,8,580.3362378339191,2878.467739656239,0
11,steady,phase_oracle,0,8,580.3362378339191,2878.467739656239,0
12,steady,one_shot_stable,0,8,585.1727208920096,2902.4566956243675,0
12,steady,change_aware,0,8,585.1727208920096,2902.4566956243675,0
12,steady,phase_oracle,0,8,585.1727208920096,2902.4566956243675,0
13,steady,one_shot_stable,0,8,591.3484748142241,2933.088435078552,0
13,steady,change_aware,0,8,591.3484748142241,2933.088435078552,0
13,steady,phase_oracle,0,8,591.3484748142241,2933.088435078552,0
14,steady,one_shot_stable,0,8,588.9193577772354,2921.0400145750878,0
14,steady,change_aware,0,8,588.9193577772354,2921.0400145750878,0
14,steady,phase_oracle,0,8,588.9193577772354,2921.0400145750878,0
15,steady,one_shot_stable,0,8,579.8822591509511,2876.2160053887173,0
15,steady,change_aware,0,8,579.8822591509511,2876.2160053887173,0
15,steady,phase_oracle,0,8,579.8822591509511,2876.2160053887173,0
16,steady,one_shot_stable,0,8,582.8367004528202,2890.8700342459883,0
16,steady,change_aware,0,8,582.8367004528202,2890.8700342459883,0
16,steady,phase_oracle,0,8,582.8367004528202,2890.8700342459883,0
17,steady,one_shot_stable,0,8,584.4926605166586,2899.0835961626267,0
17,steady,change_aware,0,8,584.4926605166586,2899.0835961626267,0
17,steady,phase_oracle,0,8,584.4926605166586,2899.0835961626267,0
18,steady,one_shot_stable,0,8,578.8677425362423,2871.1840029797618,0
18,steady,change_aware,0,8,578.8677425362423,2871.1840029797618,0
18,steady,phase_oracle,0,8,578.8677425362423,2871.1840029797618,0
19,steady,one_shot_stable,0,8,589.0309661361996,2921.59359203555,0
19,steady,change_aware,0,8,589.0309661361996,2921.59359203555,0
19,steady,phase_oracle,0,8,589.0309661361996,2921.59359203555,0
20,steady,one_shot_stable,0,8,584.4755408208084,2898.9986824712096,0
20,steady,change_aware,0,8,584.4755408208084,2898.9986824712096,0
20,steady,phase_oracle,0,8,584.4755408208084,2898.9986824712096,0
21,steady,one_shot_stable,0,8,576.3811987039816,2858.8507455717486,0
21,steady,change_aware,0,8,576.3811987039816,2858.8507455717486,0
21,steady,phase_oracle,0,8,576.3811987039816,2858.8507455717486,0
22,steady,one_shot_stable,0,8,589.4291367990998,2923.5685185235347,0
22,steady,change_aware,0,8,589.4291367990998,2923.5685185235347,0
22,steady,phase_oracle,0,8,589.4291367990998,2923.5685185235347,0
23,steady,one_shot_stable,0,8,581.8325620283603,2885.889507660667,0
23,steady,change_aware,0,8,581.8325620283603,2885.889507660667,0
23,steady,phase_oracle,0,8,581.8325620283603,2885.889507660667,0
24,steady,one_shot_stable,0,8,579.5194519219606,2874.4164815329245,0
24,steady,change_aware,0,8,579.5194519219606,2874.4164815329245,0
24,steady,phase_oracle,0,8,579.5194519219606,2874.4164815329245,0
25,steady,one_shot_stable,0,8,583.0426938236462,2891.891761365285,0
25,steady,change_aware,0,8,583.0426938236462,2891.891761365285,0
25,steady,phase_oracle,0,8,583.0426938236462,2891.891761365285,0
26,steady,one_shot_stable,0,8,587.1966140996261,2912.4952059341454,0
26,steady,change_aware,0,8,587.1966140996261,2912.4952059341454,0
26,steady,phase_oracle,0,8,587.1966140996261,2912.4952059341454,0
27,steady,one_shot_stable,0,8,587.7472616979013,2915.2264180215907,0
27,steady,change_aware,0,8,587.7472616979013,2915.2264180215907,0
27,steady,phase_oracle,0,8,587.7472616979013,2915.2264180215907,0
28,steady,one_shot_stable,0,8,585.023803794959,2901.7180668229967,0
28,steady,change_aware,0,8,585.023803794959,2901.7180668229967,0
28,steady,phase_oracle,0,8,585.023803794959,2901.7180668229967,0
29,steady,one_shot_stable,0,8,577.2705489379208,2863.261922732087,0
29,steady,change_aware,0,8,577.2705489379208,2863.261922732087,0
29,steady,phase_oracle,0,8,577.2705489379208,2863.261922732087,0
30,steady,one_shot_stable,0,8,580.4784583751516,2879.173153540752,0
30,steady,change_aware,0,8,580.4784583751516,2879.173153540752,0
30,steady,phase_oracle,0,8,580.4784583751516,2879.173153540752,0
31,steady,one_shot_stable,0,8,577.4309903865939,2864.0577123175053,0
31,steady,change_aware,0,8,577.4309903865939,2864.0577123175053,0
31,steady,phase_oracle,0,8,577.4309903865939,2864.0577123175053,0
32,steady,one_shot_stable,0,8,580.8547682344594,2881.039650442918,0
32,steady,change_aware,0,8,580.8547682344594,2881.039650442918,0
32,steady,phase_oracle,0,8,580.8547682344594,2881.039650442918,0
33,steady,one_shot_stable,0,8,573.8516371119063,2846.304120075055,0
33,steady,change_aware,0,8,573.8516371119063,2846.304120075055,0
33,steady,phase_oracle,0,8,573.8516371119063,2846.304120075055,0
34,steady,one_shot_stable,0,8,584.4503051164145,2898.8735133774157,0
34,steady,change_aware,0,8,584.4503051164145,2898.8735133774157,0
34,steady,phase_oracle,0,8,584.4503051164145,2898.8735133774157,0
35,steady,one_shot_stable,0,8,586.0329857684159,2906.7236094113427,0
35,steady,change_aware,0,8,586.0329857684159,2906.7236094113427,0
35,steady,phase_oracle,0,8,586.0329857684159,2906.7236094113427,0
