scenario,num_workers,measured_batches,batch_size,mean_batch_ms,p95_batch_ms,mean_input_wait_ms,p95_input_wait_ms,mean_gpu_step_ms,input_stall_ratio,samples_per_s,loader_startup_ms,system_cpu_percent
normal,4,20,24,12.787864999999954,34.286739999999945,6.607164999999959,27.963315000000666,6.179180000000084,0.51667459736242,1876.779274726476,5276.952800000001,56.6
normal,0,20,24,47.44006999999986,50.49557000000009,41.987469999999846,46.114639999999426,5.450905000000006,0.8850634073684961,505.9014457609374,43.55100000000078,43.8
normal,6,20,24,8.237324999999451,12.087134999996964,0.3002599999998523,0.46657499999742674,7.935929999999836,0.03645115374224913,2913.5672078012703,5218.6873,95.6
normal,2,20,24,23.471559999999947,43.07484499999906,17.804580000000136,35.18824499999856,5.665530000000096,0.7585597207855028,1022.5140553077875,4533.424500000003,35.7
normal,8,20,24,8.18307999999952,11.783355000001105,1.0817699999996933,1.337890000000475,7.100140000000188,0.1321959457807765,2932.8810179054103,6210.098599999998,88.6
normal,1,20,24,47.406270000000106,71.58071999999969,42.12686499999947,65.1557900000043,5.277824999999581,0.8886348788883701,506.26214633633793,4320.086699999997,42.2
normal,3,20,24,16.544420000000315,38.32073999999679,10.54106499999996,33.812044999997326,6.001970000000512,0.637137173741948,1450.6401554118877,4578.761399999998,65.2
cpu_memory_contention,4,20,24,24.1761199999992,54.87475000000011,5.14910499999921,17.871409999996875,19.02359500000017,0.21298310067948786,992.7151255040425,8291.585400000002,96.0
cpu_memory_contention,0,20,24,128.41485500000084,153.5456199999967,114.10441999999996,140.0732849999962,14.306765000000254,0.8885609067580166,186.89426546484705,94.35049999999734,99.5
cpu_memory_contention,6,20,24,19.513890000001055,36.39512500000919,1.202700000000334,3.3909550000053916,18.308125000002207,0.06163302140169228,1229.8931684045929,17792.8936,99.6
cpu_memory_contention,2,20,24,56.67411499999986,115.25923999999749,42.2210999999983,102.7583149999913,14.449349999998162,0.744980314205143,423.4737498768187,13276.004199999988,95.8
cpu_memory_contention,8,20,24,27.84935000000175,70.30919499999807,11.957535000000519,52.77598999999294,15.888410000000164,0.42936495824856835,861.7795388401702,20174.66610000001,96.1
cpu_memory_contention,1,20,24,109.94507000000199,122.04213500000806,95.19860500000306,109.39063000002137,14.742749999997784,0.8658742497503648,218.29082468181215,16380.853000000016,85.5
cpu_memory_contention,3,20,24,39.726635000000954,77.09781499999623,20.33203500000269,61.40850500001564,19.390125000001035,0.5117985704050243,604.1286909902997,10938.759199999993,98.8
